Date,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Move Minutes count,Cycling duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Hiking duration (ms),Sleep duration (ms),Light sleeping duration (ms),Deep sleeping duration (ms),Awake mid-sleeping duration (ms)
2019-04-08,1984.9296470765178,1898.123762845993,-33.9776733,18.4650579,-33.9773581,18.4657848,0.7186886645855896,1.595268726348877,0.24825847148895264,3456,,,,44,,75145658,5170637,,,,,,
2019-04-09,1819.996679476993,1092.2606439590454,,,,,0.758956197345755,1.5819461345672607,0.25220608711242676,2286,,,,28,,79322782,2612955,,,,,,
2019-04-10,1757.6742145720905,743.1875426769257,,,,,4.575614518328492,35.38142776489258,0.2697921693325043,2077,,,,21,,75691769,1646497,,,,,,
2019-04-11,1860.837116566265,1069.771991968155,,,,,1.009398919928452,6.618753433227539,0.27071505784988403,2227,,,,30,,72119748,3246284,,,,,,
2019-04-12,1831.6469612021983,874.7551200389862,,,,,1.12376870262694,29.376510620117188,0.2633831799030304,2804,,,,29,,79313358,2793620,,,,,,
2019-04-13,2191.338977020966,1500.3664300441742,,,,,2.0446417835847397,25.226726531982422,0.2549719214439392,4641,,,,46,,69697672,8371507,,,,,,
2019-04-14,1693.1519722054502,258.16255283355713,,,,,0.594769274996929,1.5023022890090942,0.3018653988838196,1015,,,,6,,81944450,645925,,,,,,
2019-04-15,1968.1689265545835,2651.586362361908,,,,,1.7440109297552449,27.773786544799805,0.2695573568344116,4477,,,,49,,73739014,4887419,,,,,,
2019-04-16,1688.4289805675824,68.63513088226318,,,,,0.38462793207874196,0.6342505812644958,0.27340108156204224,818,,,,3,,80655088,572683,,,,,,
2019-04-17,1831.7788644941663,1822.9645981788635,,,,,1.7460847963144284,29.14171028137207,0.2913755178451538,4100,,,,47,,66997618,2794689,,,,,,
2019-04-18,1651.4993717772124,,,,,,,,,71,,,,,,86400000,,,,,,,
2019-04-19,1651.49937685745,,,,,,3.43332278135843,4.871695518493652,1.9949405193328857,973,,,,3,,84026053,,,,,,,
2019-04-20,2019.7316290039741,2478.6820228099823,,,,,0.9911218798685006,11.930000305175781,0.2697921693325043,5563,,,,68,,71168487,5710324,,,,,,
2019-04-21,1664.8725056817664,177.84233856201172,,,,,0.6307176928538033,1.2998194694519043,0.31173762679100037,904,,,,5,,81287091,207383,,,,,,
2019-04-22,1843.532941819803,503.5568902492523,,,,,0.6919786160418053,16.700000762939453,0.24381107091903687,3168,,,,54,935061,71439751,1979078,,,,,,
2019-04-23,1797.6107155482257,1033.6963150501251,,,,,1.0121177411394104,17.020000457763672,0.2904895544052124,4082,,,,45,,73422343,2265807,,,,,,
2019-04-24,1781.6672649422947,778.1546182632446,,,,,2.1949755427016178,32.51005172729492,0.20545203983783722,3068,,,,24,,69810507,1999572,,,,,,
2019-04-25,1752.020896667019,841.5163640677929,,,,,1.3999901683800826,32.30762481689453,0.32042619585990906,3604,,,,38,,66972388,1558828,,,,,,
2019-04-26,1843.7709894808863,1718.3713800907135,,,,,0.782273242606472,1.244728446006775,0.31037017703056335,4537,,,,59,,76758813,2981633,,,,,,
2019-04-27,1780.1736253584163,1107.5709051787853,-34.1125691,18.8477669,-34.1121412,18.8481865,1.571747878571012,32.93787384033203,0.14612114429473877,4411,,,,49,,72765770,1715721,123627,,,,,
2019-04-28,1726.701225190987,241.0840539932251,-34.1122315,18.8480238,-34.1121282,18.8481865,0.5436065593437402,1.009322166442871,0.055182866752147675,2575,,,,27,540099,72935526,589234,,,,,,
